URL,ID,Category,Sub Category,Daily,Weekly,Monthly,Item Cost,Deliver to Jobsite,Retrieval From Jobsite,Environmental Fee,Tax,Estimated Cost
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/aerial-attachments-safety/glass-and-panel-tray-accessory-boom-lift,310-1230,Aerial Work Platforms,Aerial Attachments & Safety,$22 ,$66 ,$200 ,$22.00 ,$165.00 ,$165.00 ,,$14.51 ,$366.51 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scaffolding/guardrail-base-free-standing,675-7557,Aerial Work Platforms,Scaffolding,$9 ,$20 ,$57 ,$9.00 ,$357.64 ,$357.64 ,,$28.42 ,$752.70 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/aerial-attachments-safety/pipe-cradle-scissor-lifts,300-9915,Aerial Work Platforms,Aerial Attachments & Safety,$7 ,$23 ,$46 ,$7.00 ,$268.23 ,$268.23 ,,$21.33 ,$564.79 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/aerial-attachments-safety/push-around-lift-straddle-kit-accessory,300-2575,Aerial Work Platforms,Aerial Attachments & Safety,$129 ,$308 ,$790 ,$129.00 ,$192.53 ,$192.53 ,,$24.99 ,$539.05 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/pusharound-lifts/push-around-vertical-mast-lift-26-ft-34-ft,300-3080,Aerial Work Platforms,Pusharound Lifts,$323 ,$652 ,"$1,409 ",$323.00 ,$177.50 ,$177.50 ,$6.46 ,$39.48 ,$723.94 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/pusharound-lifts/push-around-vertical-mast-lift-35-ft-48-ft,300-4080,Aerial Work Platforms,Pusharound Lifts,$404 ,$815 ,"$1,970 ",$404.00 ,$177.50 ,$177.50 ,$8.08 ,$45.93 ,$813.01 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-10-ft-13-ft-electric-powered,300-1000,Aerial Work Platforms,Scissor Lifts,$163 ,$335 ,$698 ,$163.00 ,$173.00 ,$173.00 ,$3.26 ,$26.38 ,$538.64 
,,,,,,,,,,,,
